run_id,melee_kills,magic_kills,melee_hits,magic_hits,damage_taken,damage_dealt,deaths,time_alive,weapon,spell,boots,armor,enemy_hp_mult,enemy_dmg_mult,enemy_speed_mult,spawn_count,heal_on_kill_base
run_67336,14,1,26,13,23.77,372.0,0,67.523,Rusty Blade,Ice Needle,Sprint Greaves,Cloth Wrap,0.4,0.3,0.25,1,8
run_18335,15,4,35,9,81.74,435.0,0,220.899,Rapier,Ember Bolt,Ice Needle,Blood Harness,0.4,0.3,0.25,1,8
run_18335,15,4,35,9,81.74,435.0,0,220.899,Rapier,Ember Bolt,Ice Needle,Blood Harness,0.4,0.3,0.25,1,8
run_17622,14,1,30,3,56.56,391.0,0,143.121,Hatchet,Hex Spike,Leather Boots,Chain Shirt,0.4,0.3,0.25,1,8
run_17622,14,1,30,3,56.56,391.0,0,143.121,Hatchet,Hex Spike,Leather Boots,Chain Shirt,0.4,0.3,0.25,1,8
run_93055,14,1,33,5,59.75,389.0,0,63.706,Rapier,Ice Needle,Sprint Greaves,Chain Shirt,0.4,0.3,0.25,1,8
run_93055,14,1,33,5,59.75,389.0,0,63.706,Rapier,Ice Needle,Sprint Greaves,Chain Shirt,0.4,0.3,0.25,1,8
run_78650,15,0,36,0,59.44,348.0,0,42.628,Rapier,Hex Spike,Chain Shirt,Cloth Wrap,0.4,0.3,0.25,1,8
run_78650,15,0,36,0,59.44,348.0,0,42.628,Rapier,Hex Spike,Chain Shirt,Cloth Wrap,0.4,0.3,0.25,1,8
run_18806,10,5,18,16,6.6,341.0,0,38.641,Hatchet,Ember Bolt,Sprint Greaves,Cloth Wrap,0.4,0.3,0.25,1,8
run_18806,10,5,18,16,6.6,341.0,0,38.641,Hatchet,Ember Bolt,Sprint Greaves,Cloth Wrap,0.4,0.3,0.25,1,8
run_44068,15,0,31,2,84.11,447.0,0,94.857,Hatchet,Hex Spike,Voidstep Treads,Blood Harness,0.4,0.3,0.25,1,8
run_44068,15,0,31,2,84.11,447.0,0,94.857,Hatchet,Hex Spike,Voidstep Treads,Blood Harness,0.4,0.3,0.25,1,8
run_55358,2,0,13,1,116.754,133.0,1,40.397,Rusty Blade,Ember Bolt,Sprint Greaves,Cloth Wrap,1.155,0.982,1.045,2,8
run_55358,2,0,13,1,116.754,133.0,1,40.397,Rusty Blade,Ember Bolt,Sprint Greaves,Cloth Wrap,1.155,0.982,1.045,2,8
run_26450,4,0,20,2,144.337,248.0,1,65.984,Rusty Blade,Hex Spike,Voidstep Treads,Blood Harness,1.322,1.123,1.09,2,8
run_26450,4,0,20,2,144.337,248.0,1,65.984,Rusty Blade,Hex Spike,Voidstep Treads,Blood Harness,1.322,1.123,1.09,2,8
run_35265,6,0,28,0,153.735,312.0,1,67.996,Hatchet,Ember Bolt,Sprint Greaves,Cloth Wrap,1.828,1.554,1.275,4,8
run_35265,6,0,28,0,153.735,312.0,1,67.996,Hatchet,Ember Bolt,Sprint Greaves,Cloth Wrap,1.828,1.554,1.275,4,8
run_14576,2,3,8,21,116.62,334.0,1,56.555,Rusty Blade,Ember Bolt,Sprint Greaves,Blood Harness,1.593,1.354,1.113,3,8
run_14576,2,3,8,21,116.62,334.0,1,56.555,Rusty Blade,Ember Bolt,Sprint Greaves,Blood Harness,1.593,1.354,1.113,3,8
bot_melee_aggressive_00020,3,1,20,4,136.074,291.0,1,11.933,Hatchet,Hex Spike,Sprint Greaves,Cloth Wrap,1.392,1.184,1.09,3,8
bot_melee_aggressive_00021,5,0,23,4,146.251,307.0,1,13.35,Hatchet,Ember Bolt,Voidstep Treads,Cloth Wrap,1.666,1.416,1.113,4,8
bot_melee_aggressive_00022,4,0,24,2,130.234,236.0,1,9.5,Rapier,Ember Bolt,Voidstep Treads,Cloth Wrap,1.407,1.196,1.067,3,8
bot_magic_sniper_00000,1,4,8,30,128.833,412.0,1,31.05,Hatchet,Ember Bolt,Voidstep Treads,Chain Shirt,1.605,1.364,1.09,4,8
bot_hybrid_00021,2,5,20,29,156.693,470.0,1,26.233,Rapier,Ember Bolt,Voidstep Treads,Chain Shirt,2.182,1.855,1.302,5,8
bot_reckless_00000,5,0,26,7,175.608,348.0,1,13.55,Rusty Blade,Ice Needle,Leather Boots,Blood Harness,1.666,1.416,1.113,4,8
bot_melee_aggressive_00023,3,1,19,5,132.027,268.0,1,9.65,Hatchet,Ember Bolt,Sprint Greaves,Cloth Wrap,1.463,1.244,1.09,3,8
bot_tank_00001,4,1,20,7,141.314,336.0,1,13.667,Hatchet,Ice Needle,Sprint Greaves,Cloth Wrap,1.519,1.291,1.113,3,8
bot_reckless_00001,4,1,20,9,144.505,322.0,1,13.817,Rusty Blade,Ice Needle,Sprint Greaves,Cloth Wrap,1.392,1.184,1.09,3,8
bot_hybrid_00022,3,4,25,35,187.99,555.0,1,29.717,Rusty Blade,Ice Needle,Voidstep Treads,Blood Harness,2.086,1.773,1.302,4,8
bot_melee_aggressive_00024,5,0,25,4,159.146,331.0,1,17.333,Rusty Blade,Hex Spike,Sprint Greaves,Chain Shirt,1.407,1.196,1.067,3,8
bot_tank_00002,4,1,22,5,145.88,358.0,1,12.0,Hatchet,Ember Bolt,Leather Boots,Blood Harness,1.519,1.291,1.113,3,8
bot_reckless_00002,6,0,25,7,151.596,391.0,1,13.117,Rusty Blade,Hex Spike,Sprint Greaves,Chain Shirt,1.666,1.416,1.113,4,8
bot_tank_00003,4,2,34,5,176.026,424.0,1,13.85,Rusty Blade,Ember Bolt,Voidstep Treads,Blood Harness,1.666,1.416,1.113,4,8
bot_hybrid_00023,2,6,23,28,154.594,599.0,1,29.667,Rapier,Hex Spike,Sprint Greaves,Chain Shirt,1.989,1.691,1.302,4,8
bot_melee_aggressive_00025,6,0,26,6,180.11,412.0,1,15.45,Hatchet,Ice Needle,Sprint Greaves,Cloth Wrap,1.519,1.291,1.113,3,8
bot_reckless_00003,5,0,18,5,146.851,300.0,1,9.7,Rapier,Ice Needle,Sprint Greaves,Blood Harness,1.666,1.416,1.113,4,8
bot_tank_00004,3,1,25,4,149.343,267.0,1,12.3,Rusty Blade,Ice Needle,Leather Boots,Chain Shirt,1.605,1.364,1.09,4,8
bot_melee_aggressive_00026,4,0,23,3,137.22,307.0,1,10.3,Rapier,Ember Bolt,Sprint Greaves,Cloth Wrap,1.392,1.184,1.09,3,8
bot_magic_sniper_00001,4,4,17,43,158.89,579.0,1,84.517,Rusty Blade,Ice Needle,Leather Boots,Cloth Wrap,2.157,1.833,1.33,4,8
bot_reckless_00004,4,0,22,7,140.644,298.0,1,13.0,Rapier,Ember Bolt,Leather Boots,Cloth Wrap,1.392,1.184,1.09,3,8
bot_tank_00005,6,0,38,8,165.019,406.0,1,17.9,Rapier,Ice Needle,Sprint Greaves,Cloth Wrap,1.534,1.304,1.09,3,8
bot_hybrid_00024,3,4,22,26,161.501,540.0,1,32.983,Rusty Blade,Hex Spike,Voidstep Treads,Chain Shirt,2.278,1.936,1.302,5,8
bot_melee_aggressive_00027,5,1,31,4,193.137,409.0,1,14.583,Rusty Blade,Ice Needle,Leather Boots,Blood Harness,1.593,1.354,1.113,3,8
bot_tank_00006,5,1,28,9,154.509,398.0,1,14.367,Rusty Blade,Ember Bolt,Voidstep Treads,Chain Shirt,1.519,1.291,1.113,3,8
bot_reckless_00005,5,0,23,5,145.159,371.0,1,14.05,Hatchet,Hex Spike,Leather Boots,Chain Shirt,1.392,1.184,1.09,3,8
bot_melee_aggressive_00028,4,0,19,2,137.296,286.0,1,10.383,Hatchet,Ember Bolt,Sprint Greaves,Cloth Wrap,1.286,1.093,1.045,3,8
bot_tank_00007,4,0,19,4,133.365,306.0,1,11.033,Hatchet,Ember Bolt,Voidstep Treads,Blood Harness,1.605,1.364,1.09,4,8
bot_magic_sniper_00002,3,6,14,46,159.922,636.0,1,56.1,Hatchet,Ember Bolt,Voidstep Treads,Cloth Wrap,1.989,1.691,1.302,4,8
bot_hybrid_00025,4,4,24,43,178.415,574.0,1,33.667,Rapier,Ice Needle,Voidstep Treads,Blood Harness,2.157,1.833,1.33,4,8
bot_melee_aggressive_00029,6,0,33,5,146.376,367.0,1,14.35,Rapier,Hex Spike,Voidstep Treads,Chain Shirt,1.534,1.304,1.09,3,8
bot_reckless_00006,4,1,28,6,141.941,336.0,1,10.75,Rapier,Hex Spike,Sprint Greaves,Chain Shirt,1.593,1.354,1.113,3,8
bot_tank_00008,5,0,30,8,151.721,334.0,1,15.817,Rapier,Ice Needle,Voidstep Treads,Chain Shirt,1.666,1.416,1.113,4,8
bot_melee_aggressive_00030,5,1,28,5,150.574,358.0,1,12.417,Rapier,Hex Spike,Leather Boots,Cloth Wrap,1.593,1.354,1.113,3,8
bot_reckless_00007,4,0,20,5,135.27,309.0,1,9.9,Rusty Blade,Ember Bolt,Voidstep Treads,Chain Shirt,1.392,1.184,1.09,3,8
bot_hybrid_00026,2,5,15,25,145.276,497.0,1,23.15,Rusty Blade,Ice Needle,Voidstep Treads,Cloth Wrap,2.182,1.855,1.302,5,8
bot_tank_00009,6,0,35,6,184.947,423.0,1,12.0,Rapier,Hex Spike,Sprint Greaves,Blood Harness,2.107,1.791,1.275,5,8
bot_melee_aggressive_00031,4,2,24,8,157.921,416.0,1,13.617,Hatchet,Ember Bolt,Leather Boots,Chain Shirt,1.593,1.354,1.113,3,8
bot_magic_sniper_00003,2,5,13,39,134.092,495.0,1,40.883,Rusty Blade,Ember Bolt,Sprint Greaves,Chain Shirt,2.182,1.855,1.302,5,8
bot_reckless_00008,6,0,33,9,184.084,399.0,1,14.95,Rapier,Ice Needle,Leather Boots,Blood Harness,1.519,1.291,1.113,3,8
bot_melee_aggressive_00032,4,1,24,2,178.226,352.0,1,13.083,Hatchet,Ice Needle,Leather Boots,Blood Harness,1.666,1.416,1.113,4,8
bot_tank_00010,5,1,36,5,178.95,394.0,1,20.3,Rapier,Hex Spike,Voidstep Treads,Blood Harness,1.519,1.291,1.113,3,8
bot_reckless_00009,7,0,34,7,187.691,404.0,1,13.667,Rapier,Hex Spike,Voidstep Treads,Blood Harness,2.182,1.855,1.302,5,8
bot_hybrid_00027,2,6,28,44,155.053,669.0,1,32.633,Hatchet,Ice Needle,Voidstep Treads,Chain Shirt,2.182,1.855,1.302,5,8
bot_melee_aggressive_00033,4,1,29,5,178.036,366.0,1,11.733,Rapier,Ember Bolt,Sprint Greaves,Blood Harness,1.519,1.291,1.113,3,8
bot_tank_00011,5,0,25,7,167.5,345.0,1,14.033,Rusty Blade,Ember Bolt,Voidstep Treads,Blood Harness,1.519,1.291,1.113,3,8
bot_reckless_00010,6,1,33,11,178.756,431.0,1,12.783,Rapier,Hex Spike,Sprint Greaves,Cloth Wrap,1.989,1.691,1.302,4,8
bot_magic_sniper_00004,4,4,18,34,168.968,542.0,1,65.333,Rapier,Hex Spike,Leather Boots,Blood Harness,2.157,1.833,1.33,4,8
bot_melee_aggressive_00034,6,0,28,9,188.9,428.0,1,15.783,Rusty Blade,Ember Bolt,Voidstep Treads,Blood Harness,1.666,1.416,1.113,4,8
bot_tank_00012,7,0,34,7,207.733,482.0,1,15.467,Hatchet,Ice Needle,Voidstep Treads,Blood Harness,1.989,1.691,1.302,4,8
bot_reckless_00011,5,0,28,5,136.422,302.0,1,10.267,Rapier,Ember Bolt,Voidstep Treads,Chain Shirt,1.392,1.184,1.09,3,8
bot_tank_00013,5,0,33,5,139.25,357.0,1,14.65,Hatchet,Ice Needle,Sprint Greaves,Chain Shirt,1.593,1.354,1.113,3,8
bot_hybrid_00028,4,4,27,38,185.195,647.0,1,32.733,Rusty Blade,Ember Bolt,Leather Boots,Blood Harness,2.086,1.773,1.302,4,8
bot_melee_aggressive_00035,2,3,29,7,137.999,359.0,1,14.733,Rapier,Hex Spike,Leather Boots,Cloth Wrap,1.519,1.291,1.113,3,8
bot_tank_00014,4,1,30,4,139.197,326.0,1,10.3,Rapier,Hex Spike,Voidstep Treads,Cloth Wrap,1.593,1.354,1.113,3,8
bot_reckless_00012,4,1,23,7,139.738,328.0,1,10.333,Rapier,Ice Needle,Sprint Greaves,Cloth Wrap,1.392,1.184,1.09,3,8
bot_magic_sniper_00005,2,6,13,38,158.763,523.0,1,68.95,Rapier,Ice Needle,Leather Boots,Cloth Wrap,2.356,2.003,1.33,5,8
bot_melee_aggressive_00036,7,0,29,8,163.609,465.0,1,14.75,Hatchet,Ember Bolt,Leather Boots,Chain Shirt,2.086,1.773,1.302,4,8
bot_tank_00015,5,0,20,3,146.986,310.0,1,13.533,Hatchet,Ember Bolt,Voidstep Treads,Blood Harness,1.392,1.184,1.09,3,8
bot_hybrid_00029,5,2,16,33,156.841,452.0,1,25.133,Rapier,Ice Needle,Voidstep Treads,Blood Harness,2.182,1.855,1.302,5,8
bot_melee_aggressive_00037,6,0,28,6,189.266,416.0,1,17.1,Hatchet,Ice Needle,Leather Boots,Blood Harness,1.392,1.184,1.09,3,8
bot_tank_00016,7,0,35,4,206.346,427.0,1,11.617,Hatchet,Ice Needle,Sprint Greaves,Blood Harness,2.278,1.936,1.302,5,8
bot_reckless_00014,7,0,29,8,156.292,407.0,1,15.983,Rusty Blade,Ember Bolt,Leather Boots,Chain Shirt,2.182,1.855,1.302,5,8
bot_hybrid_00030,4,4,25,27,158.276,572.0,1,21.667,Rusty Blade,Ember Bolt,Voidstep Treads,Cloth Wrap,1.666,1.416,1.113,4,8
bot_tank_00017,4,1,28,7,139.115,326.0,1,11.8,Rapier,Ice Needle,Leather Boots,Cloth Wrap,1.666,1.416,1.113,4,8
bot_melee_aggressive_00038,5,0,31,5,168.119,349.0,1,10.35,Rapier,Hex Spike,Voidstep Treads,Blood Harness,1.519,1.291,1.113,3,8
bot_magic_sniper_00006,4,4,16,35,152.934,522.0,1,67.367,Rusty Blade,Hex Spike,Sprint Greaves,Cloth Wrap,2.257,1.918,1.33,5,8
bot_reckless_00015,4,0,19,4,138.687,283.0,1,11.583,Rusty Blade,Hex Spike,Voidstep Treads,Cloth Wrap,1.352,1.149,1.045,3,8
bot_melee_aggressive_00039,2,2,25,8,133.754,331.0,1,11.9,Rapier,Ember Bolt,Sprint Greaves,Chain Shirt,1.392,1.184,1.09,3,8
bot_tank_00018,5,2,37,9,163.609,484.0,1,16.3,Rapier,Hex Spike,Leather Boots,Chain Shirt,2.086,1.773,1.302,4,8
bot_hybrid_00031,3,4,24,29,146.706,570.0,1,29.5,Rapier,Ice Needle,Voidstep Treads,Cloth Wrap,2.086,1.773,1.302,4,8
bot_reckless_00016,4,0,17,4,138.016,270.0,1,11.6,Hatchet,Ice Needle,Leather Boots,Cloth Wrap,1.392,1.184,1.09,3,8
bot_melee_aggressive_00040,6,1,38,8,164.814,454.0,1,17.117,Rapier,Hex Spike,Sprint Greaves,Blood Harness,1.519,1.291,1.113,3,8
bot_reckless_00017,3,2,23,3,138.431,319.0,1,10.117,Hatchet,Hex Spike,Voidstep Treads,Cloth Wrap,1.593,1.354,1.113,3,8
bot_tank_00019,6,1,34,6,184.644,392.0,1,16.9,Rusty Blade,Ember Bolt,Sprint Greaves,Cloth Wrap,2.182,1.855,1.302,5,8
bot_melee_aggressive_00041,5,0,24,4,141.877,307.0,1,14.283,Rapier,Hex Spike,Leather Boots,Cloth Wrap,1.392,1.184,1.09,3,8
bot_magic_sniper_00007,2,7,14,44,181.343,594.0,1,62.517,Rusty Blade,Ember Bolt,Sprint Greaves,Blood Harness,1.989,1.691,1.302,4,8
bot_reckless_00018,5,0,26,4,144.424,304.0,1,12.783,Rapier,Ember Bolt,Sprint Greaves,Cloth Wrap,1.392,1.184,1.09,3,8
bot_tank_00020,4,1,33,8,176.775,367.0,1,12.767,Rapier,Ice Needle,Voidstep Treads,Blood Harness,1.666,1.416,1.113,4,8
bot_hybrid_00032,3,5,24,42,214.536,688.0,1,44.1,Rusty Blade,Ice Needle,Leather Boots,Blood Harness,2.356,2.003,1.33,5,8
bot_melee_aggressive_00042,7,0,33,8,203.063,439.0,1,16.367,Rapier,Ember Bolt,Voidstep Treads,Blood Harness,2.182,1.855,1.302,5,8
bot_reckless_00019,5,0,25,5,143.55,323.0,1,8.183,Rapier,Ice Needle,Sprint Greaves,Chain Shirt,1.593,1.354,1.113,3,8
bot_tank_00021,5,0,23,5,141.195,293.0,1,12.783,Rusty Blade,Ice Needle,Leather Boots,Blood Harness,1.593,1.354,1.113,3,8
bot_magic_sniper_00008,2,3,10,39,145.147,426.0,1,34.183,Rapier,Ice Needle,Leather Boots,Blood Harness,1.593,1.354,1.113,3,8
bot_reckless_00020,5,0,27,5,140.283,368.0,1,10.9,Hatchet,Hex Spike,Sprint Greaves,Chain Shirt,1.392,1.184,1.09,3,8
bot_hybrid_00033,2,6,17,31,150.654,516.0,1,24.533,Rusty Blade,Hex Spike,Sprint Greaves,Cloth Wrap,2.257,1.918,1.33,5,8
bot_tank_00022,5,1,27,7,169.643,395.0,1,17.8,Rusty Blade,Hex Spike,Leather Boots,Cloth Wrap,1.534,1.304,1.09,3,8
bot_melee_aggressive_00044,4,1,23,8,143.191,333.0,1,15.05,Rusty Blade,Ember Bolt,Sprint Greaves,Cloth Wrap,1.392,1.184,1.09,3,8
bot_reckless_00021,5,0,28,5,147.933,314.0,1,10.683,Rapier,Hex Spike,Leather Boots,Chain Shirt,1.666,1.416,1.113,4,8
bot_tank_00023,4,1,28,5,142.314,320.0,1,10.867,Rusty Blade,Ember Bolt,Leather Boots,Cloth Wrap,1.392,1.184,1.09,3,8
bot_melee_aggressive_00045,5,0,22,7,145.689,316.0,1,12.767,Rusty Blade,Ice Needle,Sprint Greaves,Cloth Wrap,1.392,1.184,1.09,3,8
bot_reckless_00022,6,0,23,6,157.208,406.0,1,12.1,Hatchet,Hex Spike,Sprint Greaves,Cloth Wrap,1.392,1.184,1.09,3,8
bot_tank_00024,4,1,25,4,150.913,315.0,1,11.767,Rusty Blade,Ember Bolt,Leather Boots,Cloth Wrap,1.593,1.354,1.113,3,8
bot_hybrid_00034,3,4,13,38,140.608,520.0,1,33.983,Hatchet,Ember Bolt,Sprint Greaves,Chain Shirt,1.989,1.691,1.302,4,8
bot_magic_sniper_00009,2,6,15,38,167.91,646.0,1,46.567,Hatchet,Ice Needle,Voidstep Treads,Chain Shirt,2.182,1.855,1.302,5,8
bot_reckless_00023,5,0,19,7,141.768,318.0,1,10.017,Hatchet,Ember Bolt,Voidstep Treads,Chain Shirt,1.593,1.354,1.113,3,8
bot_tank_00025,5,1,37,5,175.768,373.0,1,18.367,Rapier,Ice Needle,Leather Boots,Cloth Wrap,1.392,1.184,1.09,3,8
bot_melee_aggressive_00047,5,1,30,7,189.025,417.0,1,17.4,Rusty Blade,Hex Spike,Sprint Greaves,Blood Harness,1.593,1.354,1.113,3,8
bot_reckless_00024,6,0,30,7,147.706,381.0,1,14.8,Hatchet,Ice Needle,Sprint Greaves,Chain Shirt,1.392,1.184,1.09,3,8
bot_hybrid_00035,2,6,24,43,174.106,560.0,1,30.0,Rapier,Ice Needle,Sprint Greaves,Cloth Wrap,1.989,1.691,1.302,4,8
bot_magic_sniper_00010,0,6,7,33,120.527,464.0,1,24.2,Hatchet,Ice Needle,Leather Boots,Cloth Wrap,1.519,1.291,1.113,3,8
bot_melee_aggressive_00048,5,1,29,6,191.706,414.0,1,11.3,Rapier,Ember Bolt,Leather Boots,Blood Harness,1.519,1.291,1.113,3,8
bot_tank_00026,4,3,32,6,196.028,475.0,1,15.95,Rusty Blade,Hex Spike,Voidstep Treads,Chain Shirt,1.989,1.691,1.302,4,8
bot_reckless_00025,5,0,26,5,168.696,361.0,1,14.35,Hatchet,Hex Spike,Voidstep Treads,Blood Harness,1.605,1.364,1.09,4,8
bot_tank_00027,4,1,26,6,147.809,340.0,1,10.717,Rusty Blade,Hex Spike,Sprint Greaves,Cloth Wrap,1.519,1.291,1.113,3,8
bot_reckless_00026,4,0,25,3,157.751,299.0,1,8.517,Rusty Blade,Ember Bolt,Sprint Greaves,Blood Harness,1.392,1.184,1.09,3,8
bot_magic_sniper_00011,6,1,17,32,153.216,485.0,1,38.833,Rapier,Hex Spike,Voidstep Treads,Chain Shirt,1.989,1.691,1.302,4,8
bot_hybrid_00036,6,4,23,40,221.979,722.0,1,43.3,Hatchet,Ember Bolt,Sprint Greaves,Blood Harness,2.257,1.918,1.33,5,8
bot_tank_00028,5,0,27,5,144.483,315.0,1,14.033,Rusty Blade,Ice Needle,Sprint Greaves,Chain Shirt,1.463,1.244,1.09,3,8
bot_reckless_00027,4,1,21,6,151.255,297.0,1,10.767,Rusty Blade,Hex Spike,Leather Boots,Cloth Wrap,1.593,1.354,1.113,3,8
bot_tank_00029,3,2,24,3,148.56,330.0,1,15.45,Rusty Blade,Ember Bolt,Sprint Greaves,Cloth Wrap,1.593,1.354,1.113,3,8
bot_reckless_00028,6,0,30,7,166.087,388.0,1,14.467,Rusty Blade,Ember Bolt,Voidstep Treads,Chain Shirt,1.519,1.291,1.113,3,8
bot_hybrid_00037,5,2,19,28,150.355,601.0,1,27.917,Rusty Blade,Ember Bolt,Leather Boots,Chain Shirt,2.278,1.936,1.302,5,8
bot_reckless_00029,5,1,24,6,172.455,396.0,1,13.4,Hatchet,Ember Bolt,Voidstep Treads,Blood Harness,1.519,1.291,1.113,3,8
bot_magic_sniper_00012,2,7,14,52,185.934,612.0,1,57.95,Hatchet,Ice Needle,Voidstep Treads,Blood Harness,2.086,1.773,1.302,4,8
bot_tank_00030,7,0,33,7,204.956,458.0,1,17.85,Rapier,Ice Needle,Leather Boots,Blood Harness,1.989,1.691,1.302,4,8
bot_reckless_00030,6,0,28,9,148.77,366.0,1,13.967,Rusty Blade,Ember Bolt,Voidstep Treads,Chain Shirt,1.534,1.304,1.09,3,8
bot_hybrid_00038,4,4,26,32,168.389,618.0,1,29.25,Hatchet,Ice Needle,Voidstep Treads,Chain Shirt,2.257,1.918,1.33,5,8
bot_tank_00031,6,0,30,5,180.937,370.0,1,18.017,Rusty Blade,Ice Needle,Voidstep Treads,Cloth Wrap,1.392,1.184,1.09,3,8
bot_magic_sniper_00013,2,3,8,25,133.256,414.0,1,27.1,Hatchet,Ember Bolt,Leather Boots,Cloth Wrap,1.605,1.364,1.09,4,8
bot_reckless_00031,7,0,38,6,203.648,426.0,1,15.017,Rapier,Hex Spike,Sprint Greaves,Blood Harness,2.086,1.773,1.302,4,8
bot_tank_00032,7,0,40,6,203.65,424.0,1,15.517,Rusty Blade,Ember Bolt,Sprint Greaves,Blood Harness,2.182,1.855,1.302,5,8
bot_hybrid_00039,2,5,9,39,149.982,446.0,1,32.95,Rusty Blade,Ice Needle,Leather Boots,Cloth Wrap,1.989,1.691,1.302,4,8
bot_reckless_00032,4,0,21,6,129.8,273.0,1,10.617,Rapier,Hex Spike,Voidstep Treads,Cloth Wrap,1.407,1.196,1.067,3,8
bot_tank_00033,5,0,27,3,160.956,327.0,1,12.75,Rusty Blade,Ember Bolt,Voidstep Treads,Blood Harness,1.593,1.354,1.113,3,8
bot_reckless_00033,6,0,23,6,156.41,388.0,1,12.433,Hatchet,Hex Spike,Voidstep Treads,Blood Harness,1.519,1.291,1.113,3,8
bot_tank_00034,6,0,26,6,149.923,346.0,1,13.133,Rusty Blade,Ember Bolt,Sprint Greaves,Cloth Wrap,1.392,1.184,1.09,3,8
bot_hybrid_00040,1,5,15,35,152.194,454.0,1,25.533,Hatchet,Ice Needle,Voidstep Treads,Cloth Wrap,1.666,1.416,1.113,4,8
bot_magic_sniper_00014,3,4,14,36,150.719,550.0,1,49.983,Rapier,Ember Bolt,Voidstep Treads,Blood Harness,2.086,1.773,1.302,4,8
bot_reckless_00034,5,0,31,5,170.105,321.0,1,9.867,Rapier,Ember Bolt,Leather Boots,Cloth Wrap,1.593,1.354,1.113,3,8
bot_tank_00035,6,0,24,9,164.133,408.0,1,14.5,Hatchet,Ice Needle,Sprint Greaves,Cloth Wrap,1.392,1.184,1.09,3,8
bot_reckless_00035,4,0,22,5,132.441,282.0,1,8.967,Rusty Blade,Ice Needle,Voidstep Treads,Cloth Wrap,1.286,1.093,1.045,3,8
bot_tank_00036,6,1,27,7,158.728,434.0,1,14.983,Hatchet,Ice Needle,Sprint Greaves,Blood Harness,1.989,1.691,1.302,4,8
bot_hybrid_00041,6,5,30,51,226.821,813.0,1,40.783,Hatchet,Ice Needle,Voidstep Treads,Cloth Wrap,2.59,2.201,1.412,5,8
bot_reckless_00036,5,0,27,4,139.05,328.0,1,10.15,Hatchet,Ember Bolt,Voidstep Treads,Chain Shirt,1.392,1.184,1.09,3,8
bot_magic_sniper_00015,2,4,10,26,145.65,454.0,1,49.567,Rapier,Hex Spike,Voidstep Treads,Blood Harness,1.593,1.354,1.113,3,8
bot_tank_00037,3,1,21,4,154.469,287.0,1,12.617,Rusty Blade,Hex Spike,Sprint Greaves,Cloth Wrap,1.463,1.244,1.09,3,8
bot_reckless_00037,4,1,25,4,173.419,319.0,1,11.3,Rusty Blade,Ice Needle,Leather Boots,Blood Harness,1.593,1.354,1.113,3,8
bot_tank_00038,3,2,25,3,177.248,337.0,1,11.783,Rapier,Hex Spike,Voidstep Treads,Cloth Wrap,1.74,1.479,1.113,4,8
